Sport Football
Location_Stadium Metlife Stadium
Location_City East Rutherford
Location_Province New Jersey
Location_Country USA
Home_Team New York
Home_Alias Jets
Home_Team_Coach Todd Bowles
Away_Team New England
Away_Alias Patriots
Away_Team_Coach Bill Belichick
Period_1_Home_Team_Score 3
Period_1_Away_Team_Score 0
Period_2_Home_Team_Score 10
Period_2_Away_Team_Score 10
Period_3_Home_Team_Score 10
Period_3_Away_Team_Score 13
Period_4_Home_Team_Score 17
Period_4_Away_Team_Score 22
Period_5_Home_Team_Score 17
Period_5_Away_Team_Score 22
Period_6_Home_Team_Score 17
Period_6_Away_Team_Score 22
